Product_ID,Product_Name,Quantity,Price,Category
101,Product_101,24,70.96,A
102,Product_102,??,28.44,D
103,Product_103,4,14.0,A
104,Product_104,4,Free,A
105,Product_105,90,68.88,
106,Product_106,57,64.24,A
107,Product_107,35,87.49,C
108,,??,-15.5,D
109,Product_109,87,20.65,C
110,Product_110,26,20.99,C
111,Product_111,64,52.71,D
112,Product_112,23,Free,
113,Product_113,24,71.47,C
114,Product_114,-10,62.54,D
115,Product_115,12,27.12,A
116,Product_116,54,-15.5,C
117,,20,85.36,B
118,Product_118,75,62.12,D
119,Product_119,26,51.44,
120,Product_120,-10,Free,A
121,Product_121,96,22.26,D
122,Product_122,35,57.6,A
123,Product_123,63,39.93,B
124,Product_124,97,Free,C
125,Product_125,48,23.4,B
126,,,69.4,
127,Product_127,96,84.11,C
128,Product_128,94,-15.5,C
129,Product_129,40,93.9,C
130,Product_130,61,76.35,C
131,Product_131,9,7.04,D
132,Product_132,-10,err,C
133,Product_133,71,9.18,
134,Product_134,87,78.76,B
135,,64,69.67,C
136,Product_136,88,err,C
137,Product_137,59,14.7,A
138,Product_138,??,53.64,C
139,Product_139,45,40.25,A
140,Product_140,28,-15.5,
